date,open,high,low,close,volume,amount,outstanding_share,turnover
2020-01-02,222.2,226.92,221.92,223.78,37373749.0,908138836.0,11503432856.999998,0.0032489213841290477
2020-01-03,224.24,225.44,222.85,223.13,20009024.0,483696935.0,11503432856.999998,0.0017393959045733233
2020-01-06,222.66,222.66,215.81,216.28,52456395.0,1235861323.0,11503432856.999998,0.00456006443051298
2020-01-07,216.92,217.85,216.09,217.85,18661078.0,437713475.0,11503432856.999998,0.0016222181875599402
2020-01-08,217.48,222.2,215.72,221.18,30614378.0,723425993.0,11503432856.999998,0.002661325395694445
2020-01-09,222.2,232.29,221.28,231.0,54666733.0,1346215615.0,11503432856.999998,0.0047522103775078355
2020-01-10,230.81,232.85,229.42,231.92,25641817.0,640551457.0,11503432856.999998,0.0022290578228912426
2020-01-13,233.4,235.07,229.89,234.24,24056031.0,606341080.0,11503432856.999998,0.0020912045385966306
2020-01-14,231.92,234.79,228.22,231.18,34787257.0,868770351.0,11503432856.999998,0.003024076154695985
2020-01-15,229.42,230.81,226.28,227.39,19075745.0,469505055.0,11503432856.999998,0.0016582654271235344
2020-01-16,229.61,233.03,227.85,229.61,18671233.0,464838456.0,11503432856.999998,0.0016231009675201692
2020-01-17,231.74,233.03,228.13,229.05,16842878.0,418796517.0,11503432856.999998,0.00146416102126861
2020-01-20,228.31,229.05,222.57,223.59,28635719.0,694920052.0,11683461365.0,0.0024509619286099296
2020-01-21,222.76,222.76,213.41,213.87,42029629.0,983474682.0,11683461365.0,0.003597361063383805
2020-01-22,213.13,216.09,212.48,214.89,22739918.0,527259384.0,11683461365.0,0.0019463339920925908
2020-01-23,213.87,213.87,208.31,209.33,24893614.0,566075416.0,11683461365.0,0.002130671144646696
2020-02-03,188.87,198.69,188.41,189.8,51347241.0,1061826611.0,11683461365.0,0.00439486547658045
2020-02-04,191.46,194.43,188.22,188.87,47281024.0,972245457.0,11683461365.0,0.004046833598614806
2020-02-05,189.89,194.06,189.06,193.41,40502814.0,839131322.0,11683461365.0,0.003466679328553589
2020-02-06,193.96,196.0,190.72,194.52,29328782.0,612449565.0,11683461365.0,0.002510281934757782
2020-02-07,194.61,197.2,191.93,196.74,27022328.0,565735375.0,11683461365.0,0.0023128700610035354
2020-02-10,194.43,199.8,194.06,198.13,26828873.0,572839502.0,11683461365.0,0.0022963120398866487
2020-02-11,199.98,200.63,197.02,197.48,22062525.0,473508715.0,11683461365.0,0.0018883551980659115
2020-02-12,197.48,200.44,196.09,200.44,19535422.0,419442714.0,11683461365.0,0.0016720577395430108
2020-02-13,199.61,202.76,198.59,199.61,19297073.0,417275768.0,11683461365.0,0.0016516571927740525
2020-02-14,199.61,201.65,197.3,198.96,16721894.0,359807269.0,11683461365.0,0.0014312448578033194
2020-02-17,199.43,213.31,199.24,210.54,47188318.0,1062163456.0,11683461365.0,0.004038898792558296
2020-02-18,210.07,210.07,207.3,209.05,24709417.0,556644944.0,11683461365.0,0.002114905525687935
2020-02-19,208.5,214.52,208.41,210.63,31059043.0,712715950.0,11683461365.0,0.0026583768311198588
2020-02-20,212.02,213.87,209.98,212.94,21201672.0,486957804.0,11683461365.0,0.0018146738657016134
2020-02-21,214.98,221.09,214.79,220.81,34526170.0,818442696.0,11683461365.0,0.0029551319528842383
2020-02-24,218.5,225.16,218.5,219.42,27932206.0,670025680.0,11683461365.0,0.002390747495744383
2020-02-25,217.57,221.09,213.13,219.24,25137632.0,589682445.0,11683461365.0,0.002151556907211119
