symbol,name,trade,pricechange,changepercent,buy,sell,settlement,open,high,low,volume,amount,code,ticktime
sh600885,宏发股份,25.570,0.220,0.868,25.570,25.580,25.350,25.500,25.760,25.020,22931743,583238026,600885,15:00:03
sh600901,江苏金租,6.700,-0.010,-0.149,6.700,6.710,6.710,6.710,6.810,6.680,26275812,176913330,600901,15:00:00
sh600906,财达证券,6.220,-0.110,-1.738,6.220,6.230,6.330,6.350,6.360,6.220,11084900,69494156,600906,15:00:01
sh600909,华安证券,5.440,-0.100,-1.805,5.440,5.450,5.540,5.540,5.560,5.440,36938731,202644165,600909,15:00:01
sh600927,永安期货,13.410,-0.070,-0.519,13.410,13.420,13.480,13.540,13.700,13.400,3662020,49448780,600927,15:00:01
sh600959,江苏有线,3.840,0.020,0.524,3.830,3.840,3.820,3.840,4.000,3.800,104067373,405327745,600959,15:00:03
sh600967,内蒙一机,14.190,-0.510,-3.469,14.190,14.200,14.700,14.700,14.740,14.140,21537740,307970345,600967,15:00:03
sh600968,海油发展,4.480,-0.120,-2.609,4.480,4.490,4.600,4.600,4.600,4.430,72821600,327185318,600968,15:00:01
sh600970,中材国际,10.450,-0.070,-0.665,10.450,10.460,10.520,10.520,10.560,10.280,20945194,218008720,600970,15:00:00
sh600977,中国电影,13.230,-0.270,-2.000,13.220,13.230,13.500,13.490,13.530,13.190,15229223,202636138,600977,15:00:01
sh600985,淮北矿业,13.420,-0.380,-2.754,13.420,13.430,13.800,13.880,13.880,13.370,11516819,155844484,600985,15:00:00
sh600988,赤峰黄金,45.250,0.250,0.556,45.240,45.250,45.000,44.930,45.280,44.060,42504644,1905781993,600988,15:00:01
sh600995,南网储能,13.290,-0.330,-2.423,13.290,13.300,13.620,13.630,13.750,13.270,20667443,277144584,600995,15:00:03
sh600998,九州通,5.280,-0.100,-1.859,5.270,5.280,5.380,5.350,5.390,5.270,44852061,238751655,600998,15:00:01
sh601000,唐山港,4.710,-0.010,-0.212,4.710,4.720,4.720,4.720,4.790,4.690,61078270,290048731,601000,15:00:00
sh601001,晋控煤业,16.380,-0.190,-1.147,16.370,16.380,16.570,16.700,16.730,16.270,13422303,220574963,601001,15:00:01
sh601016,节能风电,3.810,-0.220,-5.459,3.800,3.810,4.030,4.020,4.030,3.780,414654345,1596332078,601016,15:00:00
sh601019,山东出版,8.720,-0.120,-1.357,8.710,8.720,8.840,8.890,8.900,8.670,4630463,40535198,601019,15:00:01
sh601061,中信金属,11.300,-0.260,-2.249,11.290,11.300,11.560,11.540,11.580,11.240,10223106,115634258,601061,15:00:03
sh601098,中南传媒,10.930,-0.200,-1.797,10.930,10.940,11.130,11.170,11.180,10.900,4147400,45640860,601098,15:00:00
sh601099,太平洋,3.650,-0.050,-1.351,3.650,3.660,3.700,3.710,3.720,3.640,61706671,226649959,601099,15:00:01
sh601106,中国一重,4.170,-0.070,-1.651,4.160,4.170,4.240,4.250,4.270,4.160,38510700,161217171,601106,15:00:01
sh601108,财通证券,7.700,-0.010,-0.130,7.700,7.710,7.710,7.720,7.770,7.680,22580669,174465701,601108,15:00:00
sh601118,海南橡胶,6.380,-0.170,-2.595,6.380,6.390,6.550,6.550,6.570,6.310,32695866,208914325,601118,15:00:01
sh601128,常熟银行,7.040,-0.060,-0.845,7.030,7.040,7.100,7.110,7.110,7.010,22845928,160794798,601128,15:00:03
sh601139,深圳燃气,7.000,-0.250,-3.448,6.990,7.000,7.250,7.240,7.260,6.970,30767256,217933022,601139,15:00:03
sh601155,新城控股,13.650,-0.380,-2.708,13.650,13.660,14.030,14.000,14.080,13.600,15257174,210924190,601155,15:00:03
sh601156,东航物流,16.890,-0.310,-1.802,16.890,16.900,17.200,17.150,17.240,16.850,6647330,112674351,601156,15:00:01
sh601162,天风证券,3.600,-0.040,-1.099,3.590,3.600,3.640,3.650,3.670,3.590,58445812,211836132,601162,15:00:03
sh601168,西部矿业,25.540,0.040,0.157,25.530,25.540,25.500,25.660,25.800,25.310,28945248,739316970,601168,15:00:01
sh601179,中国西电,15.050,-0.280,-1.826,15.050,15.060,15.330,15.520,15.680,15.010,127014279,1942570765,601179,15:00:01
sh601198,东兴证券,12.480,0.040,0.322,12.470,12.480,12.440,12.400,12.610,12.400,18026246,226038805,601198,15:00:01
sh601212,白银有色,7.740,-0.150,-1.901,7.740,7.750,7.890,7.930,7.950,7.670,59882259,464270662,601212,15:00:03
sh601216,君正集团,5.120,-0.200,-3.759,5.110,5.120,5.320,5.340,5.350,5.090,85213627,438943974,601216,15:00:00
sh601228,广州港,3.320,-0.050,-1.484,3.310,3.320,3.370,3.360,3.400,3.310,22657600,75629141,601228,15:00:03
sh601231,环旭电子,34.210,0.530,1.574,34.210,34.220,33.680,34.900,35.600,34.100,42915941,1489192292,601231,15:00:00
