date,open,high,low,close,volume,amount,outstanding_share,turnover,pct_chg,is_extreme,code
2020-01-02,129.16,131.02,128.05,129.54,12457719.0,467238470.0,1630952092.9999998,0.0076383108084340295,,False,002352
2020-01-03,130.12,130.16,128.05,128.53,7591739.0,282690163.0,1630952092.9999998,0.004654789697737615,-0.007796819515207609,False,002352
2020-01-06,128.22,128.84,125.84,127.36,10597786.0,391483135.0,1630952092.9999998,0.006497913731179105,-0.009102933167353888,False,002352
2020-01-07,127.88,130.92,127.53,130.3,10722076.0,401789987.0,1630952092.9999998,0.006574120751933087,0.023084170854271502,False,002352
2020-01-08,129.43,131.06,128.22,128.74,8304045.0,311016664.0,1630952092.9999998,0.005091532139810069,-0.011972371450498898,False,002352
2020-01-09,129.12,130.85,128.19,128.78,8958800.0,334956852.0,1630952092.9999998,0.005492987831126932,0.000310703743980012,False,002352
2020-01-10,128.78,130.23,126.77,129.92,11429611.0,426242465.0,1630952092.9999998,0.007007937908817535,0.008852306258735787,False,002352
2020-01-13,129.57,131.19,128.57,131.06,9696946.0,366171503.0,1630952092.9999998,0.005945573779646268,0.008774630541872108,False,002352
2020-01-14,131.4,132.13,128.91,129.33,9811365.0,370235023.0,1630952092.9999998,0.006015728507360885,-0.01320006104074467,False,002352
2020-01-15,129.26,129.95,127.53,127.88,8909396.0,330509613.0,1630952092.9999998,0.005462696322129188,-0.011211629165700288,False,002352
2020-01-16,128.53,128.67,127.22,127.39,6214603.0,229431793.0,1630952092.9999998,0.00381041419099488,-0.0038317172349077167,False,002352
2020-01-17,127.84,129.43,126.84,128.5,8007485.0,297425846.0,1630952092.9999998,0.004909699698947565,0.008713399795902355,False,002352
2020-01-20,129.09,136.52,128.53,134.31,19451122.0,744954260.0,1630952092.9999998,0.011926237492495129,0.04521400778210127,False,002352
2020-01-21,134.75,137.28,133.48,134.65,16866991.0,660998211.0,1630952092.9999998,0.010341806526624938,0.002531457076911714,False,002352
2020-01-22,133.44,134.72,128.91,132.75,16135247.0,617014222.0,1632905468.0,0.009881311145196067,-0.014110657259561843,False,002352
2020-01-23,132.75,141.36,131.3,135.55,25060037.0,992080405.0,4345694211.0,0.005766636073142699,0.02109227871939745,False,002352
2020-02-03,130.92,142.32,127.95,133.61,30142904.0,1179881852.0,4345694211.0,0.006936268990970658,-0.014312061969752876,False,002352
2020-02-04,134.37,137.55,128.95,134.1,29626193.0,1142692711.0,4345694211.0,0.006817367159660926,0.0036673901654067365,False,002352
2020-02-05,134.37,147.51,131.51,145.5,50790449.0,2034385107.0,4345694211.0,0.01168753403574442,0.08501118568232657,False,002352
2020-02-06,146.71,159.09,142.91,156.74,56902189.0,2539617934.0,4345694211.0,0.013093923832921064,0.07725085910652929,False,002352
2020-02-07,154.42,156.01,149.93,155.01,35582491.0,1574834984.0,4345694211.0,0.008187987758073759,-0.011037386755135992,False,002352
2020-02-10,155.01,157.22,151.41,156.29,28070746.0,1251420055.0,4345694211.0,0.006459438846144805,0.008257531772143833,False,002352
2020-02-11,158.64,158.98,152.86,153.14,22785543.0,1025327023.0,4345694211.0,0.005243245818429722,-0.020154840360867676,False,002352
2020-02-12,151.65,156.01,150.17,151.72,23922333.0,1049063730.0,4345694211.0,0.005504835784222186,-0.009272561055243433,False,002352
2020-02-13,151.83,151.83,147.85,148.2,19539920.0,843046284.0,4345694211.0,0.004496386319713833,-0.023200632744529437,False,002352
2020-02-14,148.48,149.27,145.5,146.78,24377693.0,1037416646.0,4345694211.0,0.005609619963202699,-0.009581646423751589,False,002352
2020-02-17,151.38,160.54,149.41,160.19,48435511.0,2196094567.0,4345694211.0,0.011145632584409194,0.09136122087477849,False,002352
2020-02-18,158.98,160.64,153.42,157.98,30412352.0,1386997775.0,4345694211.0,0.006998272433209636,-0.013796117110930872,False,002352
2020-02-19,158.95,164.79,156.39,161.12,32016906.0,1496732343.0,4345694211.0,0.00736750089754532,0.019875933662488965,False,002352
2020-02-20,161.33,165.83,159.5,161.71,22355873.0,1046650834.0,4345694211.0,0.005144373238092062,0.0036618669314796293,False,002352
2020-02-21,160.19,163.13,157.5,158.26,22783427.0,1053256475.0,4345694211.0,0.005242758899678135,-0.021334487663100754,False,002352
2020-02-24,158.12,161.99,155.49,158.84,21436011.0,979182006.0,4345694211.0,0.004932701188624889,0.003664855301402925,False,002352
2020-02-25,155.59,172.67,155.53,171.53,43233568.0,2073065134.0,4345694211.0,0.009948598751050043,0.07989171493326608,False,002352
2020-02-26,166.97,170.7,165.51,167.8,26308943.0,1277898904.0,4345694211.0,0.006054025369158677,-0.021745467265201324,False,002352
2020-02-27,169.38,175.09,164.89,172.94,26821356.0,1323865818.0,4345694211.0,0.006171938175518351,0.03063170441001173,False,002352
2020-02-28,168.0,171.91,165.0,169.18,23363100.0,1135057529.0,4345694211.0,0.005376149095088734,-0.021741644500982926,False,002352
2020-03-02,170.53,174.53,167.9,172.91,28046645.0,1398052604.0,4345694211.0,0.006453892896791306,0.022047523347913378,False,002352
2020-03-03,175.74,176.3,164.27,166.17,36318936.0,1782967933.0,4345694211.0,0.008357453202314147,-0.038979816089295016,False,002352
2020-03-04,166.93,169.18,162.51,166.34,22270334.0,1069416099.0,4345694211.0,0.005124689616592998,0.00102304868508174,False,002352
2020-03-05,167.62,168.8,164.51,167.97,19305358.0,935169881.0,4345694211.0,0.004442410593716761,0.009799206444631503,False,002352
2020-03-06,165.34,167.55,164.82,165.58,13823772.0,663903186.0,4345694211.0,0.0031810273178008476,-0.014228731321069166,False,002352
2020-03-09,170.04,171.04,162.44,162.44,23889014.0,1142902579.0,4345694211.0,0.00549716865478734,-0.018963642952047444,False,002352
2020-03-10,161.68,164.24,156.67,162.61,24730610.0,1148169234.0,4345694211.0,0.005690830693379406,0.0010465402610195795,False,002352
2020-03-11,162.92,163.47,158.98,159.02,12986318.0,603428697.0,4345694211.0,0.002988318406557115,-0.022077363015804652,False,002352
2020-03-12,156.6,157.6,153.97,154.77,14757631.0,664566741.0,4345694211.0,0.0033959202565714075,-0.026726197962520404,False,002352
2020-03-13,145.5,155.87,145.5,152.62,20219776.0,880287488.0,4345694211.0,0.004652829908928905,-0.01389158105576016,False,002352
2020-03-16,153.11,157.12,148.61,148.61,19536731.0,865789486.0,4345694211.0,0.004495652489893979,-0.026274407023981095,False,002352
2020-03-17,152.07,152.69,144.4,147.99,15013758.0,642471041.0,4345694211.0,0.0034548583657811353,-0.004171993809299557,False,002352
2020-03-18,149.3,154.39,148.27,149.51,18891771.0,830460614.0,4345694211.0,0.004347238918049128,0.010270964254341486,False,002352
2020-03-19,153.66,157.25,151.03,155.18,31540045.0,1409454636.0,4345694211.0,0.0072577690625733726,0.03792388468998742,False,002352
2020-03-20,157.7,158.95,154.11,156.36,15775668.0,714939509.0,4345694211.0,0.0036301836332772747,0.007604072689779695,False,002352
2020-03-23,150.69,155.87,148.82,153.9,11738017.0,520942630.0,4345694211.0,0.002701068328804233,-0.01573292402148896,False,002352
2020-03-24,156.91,157.63,150.13,155.04,15003393.0,667036108.0,4345694211.0,0.003452473246281985,0.007407407407407307,False,002352
2020-03-25,157.77,162.37,156.25,161.02,21219084.0,983114738.0,4345694211.0,0.004882783502412429,0.03857069143446856,False,002352
2020-03-26,160.47,160.47,157.6,158.64,12006332.0,552350829.0,4345694211.0,0.00276281105320505,-0.014780772574835566,False,002352
2020-03-27,161.23,161.75,157.39,157.6,10842648.0,499901114.0,4345694211.0,0.0024950324329205318,-0.00655572365103374,False,002352
2020-03-30,157.81,163.99,155.87,163.09,23614844.0,1106040791.0,4345694211.0,0.005434078619757721,0.034835025380710816,False,002352
2020-03-31,164.44,167.17,161.5,163.27,19639118.0,932311976.0,4345694211.0,0.004519213052379217,0.0011036850818566535,False,002352
2020-04-01,162.44,162.44,158.39,158.46,15600909.0,723200415.0,4345694211.0,0.0035899693449461625,-0.02946040301341335,False,002352
2020-04-02,157.25,160.05,156.67,159.95,11638501.0,533659149.0,4345694211.0,0.002678168420258413,0.009403003912659136,False,002352
2020-04-03,160.12,164.65,159.67,163.51,14598454.0,689248090.0,4345694211.0,0.003359291586381709,0.02225695529853078,False,002352
2020-04-07,166.17,171.35,164.68,169.11,19632835.0,958846643.0,4345694211.0,0.004517767253458507,0.034248669806128174,False,002352
2020-04-08,168.24,171.04,166.97,168.31,10794539.0,525954290.0,4345694211.0,0.002483961934706869,-0.0047306486902016776,False,002352
2020-04-09,169.35,170.32,167.17,167.97,9158880.0,446584891.0,4345694211.0,0.002107575810745419,-0.0020200819915632273,False,002352
2020-04-10,168.31,168.94,164.17,166.34,9394235.0,452645052.0,4345694211.0,0.0021617340162179213,-0.009704113829850591,False,002352
2020-04-13,165.58,171.11,164.58,169.35,12497037.0,611597084.0,4345694211.0,0.0028757285702171557,0.018095467115546437,False,002352
2020-04-14,170.01,170.59,167.28,168.83,13336572.0,650830897.0,4345694211.0,0.0030689163462633705,-0.0030705639208737923,False,002352
2020-04-15,169.35,169.9,165.48,165.58,10337189.0,499349011.0,4345694211.0,0.002378719831191546,-0.019250133270153458,False,002352
2020-04-16,164.51,167.21,163.16,164.86,9752074.0,465359724.0,4345694211.0,0.0022440773617515815,-0.0043483512501509836,False,002352
2020-04-17,166.55,170.21,165.51,168.18,15606155.0,758329197.0,4345694211.0,0.0035911765168605415,0.020138299162925977,False,002352
2020-04-20,172.7,172.77,167.28,168.35,14293444.0,700263424.0,4345694211.0,0.003289104871626689,0.0010108217386133322,False,002352
2020-04-21,167.45,167.55,163.61,165.65,12483438.0,596854145.0,4345694211.0,0.002872599265820731,-0.016038016038016023,False,002352
2020-04-22,164.1,169.9,163.37,169.38,12651943.0,612087785.0,4345694211.0,0.0029113744285032485,0.022517355870811828,False,002352
2020-04-23,170.15,171.7,168.24,169.45,13379613.0,656982792.0,4345694211.0,0.003078820632646672,0.0004132719329317247,False,002352
2020-04-24,163.41,166.4,162.33,164.38,22284715.0,1050394987.0,4345694211.0,0.005127998869223705,-0.02992033048096776,False,002352
2020-04-27,164.38,165.6,161.11,163.37,11160430.0,524633395.0,4345694211.0,0.002568158148760274,-0.006144299793162111,False,002352
2020-04-28,163.02,169.73,160.28,167.16,15846199.0,756226748.0,4345694211.0,0.0036464137214002423,0.02319887372222551,False,002352
2020-04-29,166.64,167.61,162.26,162.82,11172159.0,529065511.0,4345694211.0,0.0025708571421616763,-0.025963149078726988,False,002352
2020-04-30,163.82,164.55,161.95,162.61,12163330.0,570363425.0,4345694211.0,0.0027989383075347728,-0.0012897678417883585,False,002352
2020-05-06,161.43,163.44,157.08,162.92,22574139.0,1041902546.0,4345694211.0,0.005194599045385984,0.0019064018203061028,False,002352
2020-05-07,162.64,162.64,159.69,160.28,13557975.0,628317125.0,4345694211.0,0.003119864017509906,-0.016204272035354683,False,002352
2020-05-08,161.25,161.57,159.38,159.55,16491236.0,759747928.0,4345694211.0,0.003794845011933123,-0.004554529573246757,False,002352
2020-05-11,160.56,165.84,160.56,163.86,29399527.0,1390210292.0,4345694211.0,0.006765208404581875,0.027013475399561226,False,002352
2020-05-12,164.38,165.94,161.63,162.43,18280679.0,860872866.0,4345694211.0,0.004206618807583652,-0.008726962040766506,False,002352
2020-05-13,162.5,163.96,160.24,161.84,13308587.0,619224939.0,4345694211.0,0.0030624766386720807,-0.0036323339284615175,False,002352
2020-05-14,160.87,161.88,158.37,159.1,15703280.0,721084381.0,4345694211.0,0.0036135262256260948,-0.016930301532377734,False,002352
2020-05-15,160.28,160.56,157.5,157.95,14499611.0,661610159.0,4345694211.0,0.003336546543771531,-0.0072281583909491465,False,002352
2020-05-18,158.12,160.11,156.91,158.47,15067718.0,687918301.0,4345694211.0,0.0034672752541722728,0.003292181069958877,False,002352
2020-05-19,161.46,164.0,160.59,162.92,27097463.0,1266852182.0,4345694211.0,0.006235473939102707,0.02808102479964658,False,002352
2020-05-20,163.37,165.08,158.75,159.13,15996493.0,741452216.0,4345694211.0,0.0036809982993071667,-0.023262951141664545,False,002352
2020-05-21,159.69,160.18,155.45,156.39,21420652.0,964542803.0,4345694211.0,0.004929166885644914,-0.017218626280399718,False,002352
2020-05-22,156.39,156.67,153.95,154.3,11258659.0,501854697.0,4345694211.0,0.0025907619020918726,-0.013364025832853565,False,002352
2020-05-25,154.58,155.31,152.11,154.96,7048132.0,312459141.0,4345694211.0,0.0016218656117495515,0.004277381723914342,False,002352
2020-05-26,155.21,156.67,154.68,155.97,11804950.0,529277751.0,4345694211.0,0.0027164704709592372,0.006517811048012412,False,002352
2020-05-27,156.67,156.73,154.61,154.75,7797484.0,349204450.0,4345694211.0,0.0017943011223069234,-0.007822017054561758,False,002352
2020-05-28,155.83,155.83,151.28,154.75,10459257.0,462099799.0,4345694211.0,0.0024068092443147743,0.0,False,002352
2020-05-29,154.72,160.18,153.57,158.4,25468649.0,1157670701.0,4345694211.0,0.005860662937473306,0.023586429725363622,False,002352
2020-06-01,160.56,164.38,160.56,161.95,18467049.0,865491306.0,4345694211.0,0.004249504936002042,0.022411616161616132,False,002352
2020-06-02,164.55,175.08,163.37,168.9,53241154.0,2602508386.0,4345694211.0,0.01225147270261994,0.042914479777709236,False,002352
