date,open,high,low,close,volume,amount,outstanding_share,turnover,pct_chg,is_extreme,code
2020-01-02,9.34,9.62,9.32,9.52,202281900.0,1219376050.0,21196596395.0,0.00954313118155685,,False,600050
2020-01-03,9.56,9.68,9.49,9.52,110901438.0,672556201.0,21196596395.0,0.005232039896092006,0.0,False,600050
2020-01-06,9.43,9.59,9.38,9.49,129117991.0,777159850.0,21196596395.0,0.006091449239957093,-0.0031512605042015585,False,600050
2020-01-07,9.51,9.52,9.43,9.49,89912307.0,540169555.0,21196596395.0,0.004241827571015559,0.0,False,600050
2020-01-08,9.43,9.43,9.3,9.34,137584735.0,816994009.0,21196596395.0,0.006490888085808646,-0.015806111696522684,False,600050
2020-01-09,9.4,9.46,9.35,9.38,100308163.0,597794589.0,21196596395.0,0.004732276877417045,0.004282655246252709,False,600050
2020-01-10,9.38,9.45,9.3,9.32,119272171.0,708979905.0,21196596395.0,0.005626949193981669,-0.006396588486140775,False,600050
2020-01-13,9.29,9.34,9.16,9.32,118266405.0,693896963.0,21196596395.0,0.00557949978364911,0.0,False,600050
2020-01-14,9.34,9.84,9.34,9.75,443966010.0,2730734269.0,21196596395.0,0.02094515561492343,0.04613733905579398,False,600050
2020-01-15,9.73,9.81,9.62,9.65,182817472.0,1123324579.0,21196596395.0,0.008624850357726501,-0.01025641025641022,False,600050
2020-01-16,9.7,9.73,9.46,9.49,164493023.0,996695114.0,21196596395.0,0.007760350762672528,-0.016580310880829008,False,600050
2020-01-17,9.46,9.52,9.4,9.41,96215354.0,576172806.0,21196596395.0,0.004539188849333186,-0.008429926238145424,False,600050
2020-01-20,9.43,9.56,9.37,9.56,128883052.0,774231132.0,21196596395.0,0.006080365432178622,0.015940488841657885,False,600050
2020-01-21,9.46,9.46,9.3,9.34,132376371.0,785466438.0,21196596395.0,0.006245171089412537,-0.023012552301255318,False,600050
2020-01-22,9.3,9.32,9.11,9.27,121388423.0,708153687.0,21196596395.0,0.005726788430459239,-0.007494646680942241,False,600050
